split,gloss,count
dev,LÝ,1
dev,LŨ,1
dev,LỚP_TRƯỞNG,1
dev,LỚP,1
dev,MIỀN_BẮC,1
dev,MIỀN_NAM,1
dev,MUA,1
dev,MÀU,1
dev,MÁT,1
dev,MÈO,1
dev,MÍT,1
dev,MÔN,1
dev,MÙA_HÈ,1
dev,MÙA_THU,1
dev,MÙA_XUÂN,1
dev,MÙA,1
dev,MÙA_ĐÔNG,1
dev,MƯA,1
dev,MẤY_GIỜ,1
dev,MẤY,1
dev,MẸ,1
dev,MỚI,1
dev,NGON,1
dev,NGOẠI,1
dev,NGÀY_MAI,1
dev,NGÀY,1
dev,NGƯỜI,1
dev,NGỌT,1
dev,NGỦ,1
dev,NHIỀU,1
dev,NHO,1
dev,NHÀ,1
dev,NHÌN,1
dev,NHƯ_THẾ_NÀO,1
dev,NHẠT,1
dev,NHẤT,1
dev,NÓNG,1
dev,NÓ,1
dev,NÚI,1
dev,NĂM,1
dev,NỘI,1
dev,PHÓ,1
dev,PHÚT,1
dev,PHẢI,1
dev,RAU,1
dev,RẮN,1
dev,RỒI,1
dev,RỪNG,1
dev,SANH,1
dev,SINH,1
dev,SUỐI,1
dev,SÔNG,1
dev,SƯ_TỬ,1
dev,SẠCH,1
dev,SẦU_RIÊNG,1
dev,SẼ,1
dev,SỐNG,1
dev,SỚM,1
dev,THÁC_NƯỚC,1
dev,THÁNG,1
dev,THÍCH,1
dev,THƯƠNG,1
dev,THỎ,1
dev,THỜI_TIẾT,1
dev,THỨC_DẬY,1
dev,THỨ_2,1
dev,THỨ_3,1
dev,THỨ_4,1
dev,THỨ_5,1
dev,THỨ_6,1
dev,THỨ_7,1
dev,TO,1
dev,TOÁN,1
dev,TRONG,1
dev,TRÁI_CAM,1
dev,TRÁI_TÁO,1
dev,TRÁI,1
dev,TRÈO_CÂY,1
dev,TRƯỜNG,1
dev,TRẮNG,1
dev,TRỄ,1
dev,TUẦN,1
dev,TÊN,1
dev,TÍM,1
dev,TÒA_NHÀ,1
dev,TÔI,1
dev,TÔM,1
dev,TẦNG,1
dev,TẮM_VÒI_SEN,1
dev,VIỆT_NAM,1
dev,VÀ,1
dev,VÌ,1
dev,VĂN,1
dev,VỀ,1
dev,VỊT,1
dev,VỎ,1
dev,XANH_DƯƠNG,1
dev,XANH,1
dev,XE_HƠI,1
dev,XE_MÁY,1
dev,XE_ĐẠP,1
dev,XOÀI,1
dev,YÊU,1
dev,CON,1
dev,ÁO,1
dev,ÔNG,1
dev,ÔN,1
dev,ĂN,1
dev,ĐEN,1
dev,ĐI,1
dev,ĐÁNH_RĂNG,1
dev,ĐÂU,1
dev,ĐÂY,1
dev,ĐÚNG_GIỜ,1
dev,ĐẬM,1
dev,ĐẸP,1
dev,ĐẾM,1
dev,ĐỀU,1
dev,ĐỎ,1
dev,ĐỒI,1
dev,ĐỘNG_VẬT,1
dev,ĐỘNG_ĐẤT,1
dev,Ở,1
test,0,1
test,1,1
test,200,1
test,20,1
test,2,1
test,3,1
test,4,1
test,50,1
test,5,1
test,6,1
test,7,1
test,9,1
test,AI,1
test,ANH,1
test,AO,1
test,BAY,1
test,BA_LÔ,1
test,BA,1
test,BIẾT,1
test,BIỂN,1
test,BUỔI_SÁNG,1
test,BÀI_TẬP,1
test,BÀ,1
test,BÁNH,1
test,BÂY_GIỜ,1
test,BÚT_CHÌ,1
test,BƠI,1
test,BẠN,1
test,BỤNG,1
test,CAM,1
test,CAO,1
test,CAY,1
test,CHIA,1
test,CHIM,1
test,CHO,1
test,CHUA,1
test,CHÀO,1
test,CHÓ,1
test,CHÚ,1
test,CHƠI,1
test,CHƯA,1
test,CHỊ,1
test,CHỢ,1
test,CHỦ_NHẬT,1
test,CUA,1
test,CÀ_RỐT,1
test,CÁ_MẬP,1
test,CÁ,1
test,CÂY,1
test,CÓ,1
test,CÙNG,1
test,CỌP,1
test,CỦA_BẠN,1
test,CỦA_TÔI,1
test,DU_LỊCH,1
test,DÂU,1
test,DƯA_HẤU,1
test,DẠY,1
test,EM,1
test,GIA_ĐÌNH,1
test,GIÀ,1
test,GIÁO_VIÊN,1
test,GIÂY,1
test,GIỜ,1
test,GÀ,1
test,GÌ,1
test,GẦN,1
test,HAY,1
test,HEO,1
test,HIỀN,1
test,HIỆU_TRƯỞNG,1
test,HÓA,1
test,HÔI,1
test,HÔM_NAY,1
test,HÔM_QUA,1
test,HƠN,1
test,HƯƠU_CAO_CỔ,1
test,HỌC_SINH,1
test,HỌC,1
test,HỒNG,1
test,KHÔNG_CÓ,1
test,KHÔNG_THÍCH,1
test,KHÔ,1
test,KHỈ,1
test,KHỎE,1
test,KIỂM_TRA,1
test,KÍ_HIỆU,1
test,LÀM,1
test,LÀ,1
test,LÁI,1
test,LÁ,1
test,LÙN,1
test,LÚC,1
test,LÝ,1
test,LŨ,1
test,LỚP_TRƯỞNG,1
test,LỚP,1
test,MIỀN_BẮC,1
test,MIỀN_NAM,1
test,MUA,1
test,MÀU,1
test,MÁT,1
test,MÈO,1
test,MÍT,1
test,MÔN,1
test,MÙA_HÈ,1
test,MÙA_THU,1
test,MÙA_XUÂN,1
test,MÙA,1
test,MÙA_ĐÔNG,1
test,MƯA,1
test,MẤY_GIỜ,1
test,MẤY,1
test,MẸ,1
test,MỚI,1
test,NGON,1
test,NGOẠI,1
test,NGÀY_MAI,1
test,NGÀY,1
test,NGƯỜI,1
test,NGỌT,1
test,NGỦ,1
test,NHIỀU,1
test,NHO,1
test,NHÀ,1
test,NHÌN,1
test,NHƯ_THẾ_NÀO,1
test,NHẠT,1
test,NHẤT,1
test,NÓNG,1
test,NÓ,1
test,NÚI,1
test,NĂM,1
test,NỘI,1
test,PHÓ,1
test,PHÚT,1
test,PHẢI,1
test,RAU,1
test,RẮN,1
test,RỒI,1
test,RỪNG,1
test,SANH,1
test,SINH,1
test,SUỐI,1
test,SÔNG,1
test,SƯ_TỬ,1
test,SẠCH,1
test,SẦU_RIÊNG,1
test,SẼ,1
test,SỐNG,1
test,SỚM,1
test,THÁC_NƯỚC,1
test,THÁNG,1
test,THÍCH,1
test,THƯƠNG,1
test,THỎ,1
test,THỜI_TIẾT,1
test,THỨC_DẬY,1
test,THỨ_2,1
test,THỨ_3,1
test,THỨ_4,1
test,THỨ_5,1
test,THỨ_6,1
test,THỨ_7,1
test,TO,1
test,TOÁN,1
test,TRONG,1
test,TRÁI_CAM,1
test,TRÁI_TÁO,1
test,TRÁI,1
test,TRÈO_CÂY,1
test,TRƯỜNG,1
test,TRẮNG,1
test,TRỄ,1
test,TUẦN,1
test,TÊN,1
test,TÍM,1
test,TÒA_NHÀ,1
test,TÔI,1
test,TÔM,1
test,TẦNG,1
test,TẮM_VÒI_SEN,1
test,VIỆT_NAM,1
test,VÀ,1
test,VÌ,1
test,VĂN,1
test,VỀ,1
test,VỊT,1
test,VỎ,1
test,XANH_DƯƠNG,1
test,XANH,1
test,XE_HƠI,1
test,XE_MÁY,1
test,XE_ĐẠP,1
test,XOÀI,1
test,YÊU,1
test,CON,1
test,ÁO,1
test,ÔNG,1
test,ÔN,1
test,ĂN,1
test,ĐEN,1
test,ĐI,1
test,ĐÁNH_RĂNG,1
test,ĐÂU,1
test,ĐÂY,1
test,ĐÚNG_GIỜ,1
test,ĐẬM,1
test,ĐẸP,1
test,ĐẾM,1
test,ĐỀU,1
test,ĐỎ,1
test,ĐỒI,1
test,ĐỘNG_VẬT,1
test,ĐỘNG_ĐẤT,1
test,Ở,1
